epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,642.426,1.14764,0.54699,0.90061,0.90365,0.92482,0.94656,0.50768,1.45426,0.61266,0.95451,0.000167125,0.000167125,0.000167125
76,651.6,1.11476,0.53305,0.88856,0.92777,0.91548,0.94801,0.51639,1.45185,0.60886,0.95392,0.000160938,0.000160938,0.000160938
77,659.33,1.12861,0.53917,0.86544,0.92464,0.91417,0.94437,0.51654,1.45002,0.60806,0.95525,0.00015475,0.00015475,0.00015475
78,668.827,1.13391,0.53693,0.88314,0.92146,0.91507,0.94563,0.52132,1.45014,0.61015,0.95702,0.000148563,0.000148563,0.000148563
79,677.537,1.15015,0.54701,0.89597,0.89998,0.91206,0.9423,0.51962,1.44342,0.61324,0.95611,0.000142375,0.000142375,0.000142375
80,685.565,1.09946,0.52388,0.88879,0.89652,0.91805,0.95062,0.52668,1.42691,0.60597,0.94699,0.000136187,0.000136187,0.000136187
81,693.65,1.14059,0.53565,0.88274,0.89678,0.91772,0.94668,0.53949,1.42448,0.60749,0.94661,0.00013,0.00013,0.00013
82,701.069,1.10777,0.53345,0.88734,0.89846,0.92007,0.94598,0.54578,1.42898,0.60778,0.94809,0.000123812,0.000123812,0.000123812
83,709.663,1.14793,0.537,0.87471,0.8988,0.9218,0.94684,0.53842,1.4398,0.60479,0.94947,0.000117625,0.000117625,0.000117625
84,717.823,1.14952,0.54473,0.8919,0.91184,0.91408,0.9424,0.53578,1.44233,0.59109,0.94896,0.000111438,0.000111438,0.000111438
85,726.407,1.11025,0.53591,0.88445,0.91322,0.91455,0.94296,0.5337,1.44629,0.59343,0.94973,0.00010525,0.00010525,0.00010525
86,734.189,1.13757,0.53462,0.87821,0.91569,0.92508,0.94895,0.53312,1.44669,0.59975,0.95087,9.90625e-05,9.90625e-05,9.90625e-05
87,741.778,1.13708,0.54412,0.90302,0.91704,0.92888,0.951,0.5194,1.45239,0.5986,0.95178,9.2875e-05,9.2875e-05,9.2875e-05
88,750.632,1.15855,0.5449,0.89604,0.91647,0.93004,0.95479,0.52449,1.44575,0.59599,0.94921,8.66875e-05,8.66875e-05,8.66875e-05
89,758.402,1.09006,0.52649,0.88536,0.90794,0.93016,0.95365,0.52683,1.43826,0.59862,0.94825,8.05e-05,8.05e-05,8.05e-05
90,767.101,1.10397,0.52916,0.88915,0.89213,0.91921,0.94541,0.52455,1.44137,0.60205,0.95066,7.43125e-05,7.43125e-05,7.43125e-05
91,779.709,1.13494,0.55637,0.89356,0.89476,0.91921,0.94451,0.51962,1.4436,0.59974,0.95158,6.8125e-05,6.8125e-05,6.8125e-05
92,785.315,1.11441,0.54113,0.88784,0.90271,0.92057,0.94495,0.52254,1.45218,0.60223,0.95199,6.19375e-05,6.19375e-05,6.19375e-05
93,789.984,1.03379,0.51071,0.88337,0.9028,0.92131,0.94204,0.52969,1.45384,0.60352,0.95212,5.575e-05,5.575e-05,5.575e-05
94,795.93,1.08172,0.5187,0.9009,0.90908,0.93011,0.94757,0.53143,1.4582,0.60649,0.95478,4.95625e-05,4.95625e-05,4.95625e-05
95,799.816,1.09386,0.5335,0.87252,0.90746,0.93212,0.95114,0.5314,1.46542,0.61491,0.95618,4.3375e-05,4.3375e-05,4.3375e-05
96,803.881,1.05246,0.51539,0.87613,0.89829,0.92259,0.94222,0.52339,1.47674,0.61653,0.95811,3.71875e-05,3.71875e-05,3.71875e-05
97,808.472,1.10108,0.52504,0.87967,0.89809,0.92211,0.941,0.52107,1.47733,0.61453,0.95774,3.1e-05,3.1e-05,3.1e-05
98,813.563,1.07162,0.50872,0.90138,0.89738,0.92203,0.94082,0.51758,1.47154,0.61289,0.95757,2.48125e-05,2.48125e-05,2.48125e-05
99,817.728,1.0399,0.50522,0.87485,0.89629,0.92458,0.94146,0.52013,1.47102,0.61248,0.95845,1.8625e-05,1.8625e-05,1.8625e-05
100,822.87,1.09516,0.52817,0.87782,0.89782,0.92429,0.94095,0.52017,1.46532,0.61057,0.95737,1.24375e-05,1.24375e-05,1.24375e-05
